Temperature,PH,Nitrogen,Phosphorous,Potassium,Soil,Crop,Growth_Stage,Fertilizer_Type,Fertilizer_per_acre
33.38,7.06,31,108,132,Clay,Radish,Flowering,NPK 15-15-15,31
25.19,7.37,20,111,154,Loam,Rice,Germination,NPK 15-15-15,30
31.18,6.28,145,26,119,Sandy loam,Beetroot,Flowering,NPK 15-15-15,41
35.84,6.34,106,136,59,Clay,Red onion,Flowering,Urea,29
28.98,6.17,86,33,119,Clay,Rice,Vegetative,Urea,44
29.72,6.36,143,71,25,Sandy loam,Rice,Germination,DAP,24
30.08,6.39,101,37,27,Sandy loam,Red onion,Vegetative,NPK 15-15-15,32
33.14,7.08,38,58,140,Clay,Red onion,Germination,DAP,25
34.57,7.24,77,147,31,Clay,Radish,Vegetative,Urea,29
34.30,7.25,149,67,94,Sandy loam,Beetroot,Vegetative,NPK 15-15-15,54
27.35,7.27,68,62,39,Clay,Beetroot,Flowering,NPK 15-15-15,52
25.05,6.74,122,34,95,Loam,Red onion,Germination,DAP,21
30.71,7.14,154,26,68,Sandy loam,Radish,Flowering,NPK 15-15-15,30
32.69,7.38,107,47,115,Sandy loam,Beetroot,Vegetative,NPK 15-15-15,39
27.55,7.35,88,43,48,Sandy loam,Radish,Germination,DAP,15
32.21,7.35,113,65,84,Clay,Radish,Germination,DAP,20
33.18,6.25,44,82,133,Clay,Beetroot,Flowering,NPK 15-15-15,54
33.08,7.16,62,67,155,Loam,Red onion,Vegetative,NPK 15-15-15,27
27.25,6.19,156,152,29,Clay,Beetroot,Vegetative,NPK 15-15-15,51
31.94,7.38,30,101,107,Clay,Radish,Germination,DAP,16
25.96,6.94,133,134,104,Clay,Rice,Vegetative,Urea,35
27.57,6.86,56,44,114,Loam,Beetroot,Flowering,NPK 15-15-15,54
34.59,6.47,124,120,109,Clay,Rice,Flowering,Urea,27
24.55,7.20,160,24,156,Clay,Radish,Vegetative,Urea,24
33.07,6.21,110,66,92,Loam,Red onion,Germination,DAP,23
33.99,7.33,43,130,148,Clay,Beetroot,Germination,NPK 15-15-15,27
24.15,7.27,38,125,114,Loam,Red onion,Flowering,Urea,25
34.89,6.75,112,131,36,Sandy loam,Rice,Germination,DAP,21
24.94,6.99,26,31,95,Clay,Radish,Vegetative,Urea,22
30.93,6.16,38,121,78,Clay,Beetroot,Vegetative,Urea,42
25.28,6.97,33,82,58,Clay,Radish,Vegetative,Urea,21
29.50,7.35,125,40,110,Loam,Red onion,Vegetative,NPK 15-15-15,28
29.30,5.91,110,157,36,Sandy loam,Beetroot,Vegetative,Urea,41
35.29,6.93,48,141,44,Loam,Beetroot,Vegetative,Urea,52
24.37,7.03,156,21,121,Clay,Beetroot,Germination,NPK 15-15-15,26
28.45,6.88,82,72,95,Sandy loam,Rice,Vegetative,Urea,38
34.60,6.88,150,58,111,Sandy loam,Rice,Vegetative,Urea,38
28.51,7.39,100,106,34,Sandy loam,Red onion,Vegetative,NPK 15-15-15,33
29.92,7.36,33,50,90,Loam,Beetroot,Flowering,NPK 15-15-15,56
35.26,5.86,30,81,151,Loam,Beetroot,Germination,NPK 15-15-15,32
34.17,7.06,109,89,60,Clay,Red onion,Flowering,Urea,26
33.53,6.46,101,73,135,Sandy loam,Rice,Flowering,Urea,33
33.19,6.85,37,63,82,Loam,Beetroot,Vegetative,NPK 15-15-15,47
31.66,7.22,114,118,83,Sandy loam,Beetroot,Flowering,NPK 15-15-15,59
29.50,6.52,69,102,107,Clay,Red onion,Flowering,Urea,28
24.91,5.92,22,119,151,Clay,Rice,Germination,DAP,20
27.20,6.56,21,73,131,Loam,Rice,Flowering,Urea,33
27.58,6.40,47,96,29,Sandy loam,Radish,Germination,DAP,18
25.70,6.94,146,62,121,Loam,Red onion,Germination,DAP,22
25.93,7.07,144,28,30,Sandy loam,Red onion,Germination,DAP,21
26.49,5.87,43,151,32,Clay,Red onion,Flowering,Urea,27
25.18,7.28,36,64,126,Sandy loam,Rice,Germination,NPK 15-15-15,24
30.96,6.23,155,62,109,Clay,Radish,Germination,DAP,17
33.46,5.98,41,123,48,Loam,Radish,Germination,DAP,18
27.43,6.92,62,24,151,Loam,Red onion,Vegetative,NPK 15-15-15,33
32.23,6.01,131,129,120,Loam,Beetroot,Flowering,NPK 15-15-15,50
28.74,6.32,134,97,83,Sandy loam,Beetroot,Vegetative,Urea,37
31.73,7.06,46,105,123,Loam,Red onion,Flowering,Urea,29
33.86,5.86,157,83,51,Loam,Red onion,Germination,DAP,18
34.49,6.44,149,41,92,Loam,Radish,Flowering,NPK 15-15-15,21
35.51,6.10,137,101,103,Loam,Radish,Flowering,NPK 15-15-15,26
25.91,6.09,69,40,149,Sandy loam,Rice,Vegetative,Urea,43
24.19,6.13,131,84,79,Clay,Rice,Germination,NPK 15-15-15,27
25.12,5.87,52,86,142,Sandy loam,Radish,Flowering,NPK 15-15-15,23
31.48,6.66,32,145,118,Sandy loam,Rice,Vegetative,Urea,45
24.12,7.13,96,86,144,Clay,Rice,Flowering,Urea,23
29.76,7.23,139,150,39,Clay,Beetroot,Vegetative,Urea,38
27.58,6.87,141,75,160,Clay,Radish,Flowering,NPK 15-15-15,20
33.30,6.51,144,74,131,Sandy loam,Rice,Germination,DAP,21
33.19,6.85,38,112,29,Loam,Rice,Germination,NPK 15-15-15,24
28.77,6.64,61,54,94,Loam,Radish,Germination,DAP,16
24.16,6.41,139,90,37,Sandy loam,Red onion,Flowering,Urea,28
31.11,6.53,70,122,119,Sandy loam,Radish,Flowering,NPK 15-15-15,22
31.87,6.71,86,77,28,Loam,Rice,Germination,DAP,22
28.87,7.16,120,115,24,Sandy loam,Red onion,Germination,DAP,16
34.86,5.94,56,28,134,Clay,Beetroot,Germination,NPK 15-15-15,31
35.01,7.31,70,88,117,Loam,Rice,Vegetative,Urea,43
32.91,6.61,30,139,141,Sandy loam,Beetroot,Flowering,NPK 15-15-15,57
30.66,6.27,112,153,142,Sandy loam,Radish,Flowering,NPK 15-15-15,33
27.28,6.95,145,157,95,Sandy loam,Beetroot,Germination,NPK 15-15-15,27
29.64,6.57,71,74,46,Loam,Rice,Flowering,Urea,31
35.07,6.31,108,87,71,Sandy loam,Red onion,Germination,DAP,21
29.34,7.35,53,65,61,Clay,Red onion,Vegetative,NPK 15-15-15,27
31.58,6.13,127,78,36,Loam,Rice,Flowering,Urea,21
31.19,6.53,34,160,130,Sandy loam,Red onion,Vegetative,NPK 15-15-15,31
25.71,6.69,32,27,43,Clay,Rice,Germination,DAP,25
24.59,6.16,82,120,131,Sandy loam,Beetroot,Vegetative,NPK 15-15-15,45
28.98,5.97,84,32,75,Clay,Red onion,Germination,DAP,17
35.14,6.06,140,129,92,Sandy loam,Red onion,Germination,DAP,21
31.31,5.89,80,122,85,Clay,Radish,Flowering,NPK 15-15-15,28
29.46,5.82,52,35,87,Loam,Radish,Germination,DAP,18
26.80,6.20,78,99,81,Loam,Beetroot,Germination,NPK 15-15-15,31
25.28,7.06,106,102,142,Clay,Rice,Flowering,Urea,31
34.01,7.05,25,124,39,Sandy loam,Rice,Germination,DAP,20
34.03,7.13,146,160,127,Clay,Rice,Germination,NPK 15-15-15,26
25.52,6.92,114,106,137,Clay,Rice,Vegetative,Urea,43
34.26,6.07,111,84,72,Clay,Rice,Germination,DAP,24
32.15,6.70,60,34,30,Loam,Red onion,Vegetative,NPK 15-15-15,31
24.96,5.86,144,133,137,Clay,Radish,Vegetative,Urea,23
24.89,6.32,153,56,61,Sandy loam,Beetroot,Vegetative,NPK 15-15-15,52
33.83,6.42,110,121,155,Sandy loam,Radish,Germination,DAP,19
26.48,6.19,25,39,158,Sandy loam,Radish,Vegetative,Urea,21
27.82,6.64,65,41,147,Clay,Rice,Flowering,Urea,32
34.56,5.81,151,20,57,Loam,Radish,Flowering,NPK 15-15-15,24
29.58,6.39,67,140,53,Loam,Rice,Germination,NPK 15-15-15,22
33.14,6.56,85,87,160,Clay,Red onion,Vegetative,NPK 15-15-15,31
29.31,6.09,38,60,38,Loam,Radish,Vegetative,Urea,23
29.40,7.30,152,48,81,Loam,Rice,Vegetative,Urea,45
24.07,6.75,37,111,20,Loam,Red onion,Germination,DAP,23
31.01,7.11,63,25,124,Loam,Beetroot,Germination,NPK 15-15-15,32
26.78,6.49,39,65,153,Clay,Radish,Germination,DAP,19
29.22,6.49,150,103,85,Loam,Radish,Germination,DAP,16
35.96,7.02,50,123,71,Clay,Rice,Germination,NPK 15-15-15,28
35.68,6.93,123,28,99,Sandy loam,Rice,Germination,DAP,27
30.84,7.00,144,118,148,Clay,Rice,Vegetative,Urea,40
35.05,6.17,73,24,156,Clay,Rice,Germination,NPK 15-15-15,27
32.58,6.63,49,71,86,Sandy loam,Beetroot,Germination,NPK 15-15-15,27
26.64,5.85,43,65,79,Loam,Red onion,Germination,DAP,21
33.28,6.45,126,52,38,Sandy loam,Radish,Germination,DAP,16
24.91,6.27,27,75,41,Sandy loam,Radish,Flowering,NPK 15-15-15,28
25.71,6.93,107,32,156,Sandy loam,Red onion,Flowering,Urea,29
24.51,6.12,128,62,44,Clay,Radish,Germination,DAP,16
29.96,6.91,115,70,111,Clay,Red onion,Flowering,Urea,21
27.90,6.91,25,85,135,Clay,Beetroot,Vegetative,Urea,53
24.38,6.56,22,152,138,Sandy loam,Radish,Germination,DAP,16
31.31,6.94,57,128,25,Sandy loam,Beetroot,Germination,NPK 15-15-15,30
33.82,7.15,52,33,55,Loam,Red onion,Vegetative,NPK 15-15-15,32
32.59,6.98,159,77,24,Loam,Rice,Germination,NPK 15-15-15,26
24.99,6.88,28,134,112,Sandy loam,Radish,Flowering,NPK 15-15-15,29
35.49,6.97,123,124,96,Sandy loam,Radish,Germination,DAP,19
35.97,6.25,135,78,44,Clay,Radish,Germination,DAP,17
34.88,5.84,39,144,90,Clay,Red onion,Flowering,Urea,24
24.24,6.97,49,27,33,Sandy loam,Radish,Germination,DAP,17
30.90,6.19,114,43,147,Sandy loam,Beetroot,Vegetative,Urea,54
33.46,6.71,83,98,59,Clay,Rice,Flowering,Urea,33
29.13,6.66,148,100,121,Clay,Radish,Vegetative,Urea,21
29.32,6.78,86,77,133,Clay,Beetroot,Vegetative,Urea,41
26.93,6.17,148,96,89,Loam,Beetroot,Vegetative,NPK 15-15-15,35
33.82,6.56,123,20,45,Clay,Red onion,Vegetative,NPK 15-15-15,32
27.20,7.24,106,88,124,Sandy loam,Beetroot,Vegetative,NPK 15-15-15,36
29.94,5.92,103,42,20,Clay,Red onion,Germination,DAP,21
34.01,6.96,31,160,143,Sandy loam,Radish,Germination,DAP,20
27.92,6.09,154,23,48,Clay,Radish,Flowering,NPK 15-15-15,23
26.12,7.08,153,134,115,Sandy loam,Beetroot,Vegetative,Urea,47
26.52,6.99,158,128,84,Loam,Red onion,Vegetative,NPK 15-15-15,26
35.35,6.04,31,33,116,Clay,Radish,Germination,DAP,19
32.95,6.45,47,31,66,Loam,Rice,Flowering,Urea,31
34.41,6.52,52,82,94,Clay,Radish,Germination,DAP,18
30.17,5.98,64,122,54,Loam,Rice,Germination,DAP,25
32.76,6.49,118,23,68,Sandy loam,Red onion,Flowering,Urea,29
32.98,7.27,78,117,78,Clay,Radish,Flowering,NPK 15-15-15,34
33.71,7.40,90,110,152,Sandy loam,Beetroot,Germination,NPK 15-15-15,25
26.92,6.93,107,48,36,Clay,Radish,Vegetative,Urea,20
26.87,6.48,107,51,122,Sandy loam,Rice,Vegetative,Urea,40
26.14,7.36,143,136,70,Sandy loam,Red onion,Germination,DAP,18
25.10,6.56,137,128,109,Clay,Rice,Flowering,Urea,22
30.14,5.91,139,107,124,Loam,Beetroot,Germination,NPK 15-15-15,29
29.04,7.16,152,155,67,Sandy loam,Red onion,Flowering,Urea,21
32.47,5.88,62,42,39,Sandy loam,Radish,Germination,DAP,17
35.65,7.00,52,94,77,Loam,Beetroot,Germination,NPK 15-15-15,32
29.37,6.64,35,50,44,Clay,Rice,Germination,DAP,26
33.39,6.70,22,123,113,Loam,Radish,Vegetative,Urea,27
31.96,7.16,146,116,140,Clay,Beetroot,Germination,NPK 15-15-15,32
29.86,6.42,134,99,44,Loam,Red onion,Vegetative,NPK 15-15-15,27
34.16,6.25,26,58,136,Sandy loam,Red onion,Vegetative,NPK 15-15-15,27
28.12,5.81,110,75,80,Clay,Red onion,Germination,DAP,16
29.13,6.51,76,70,73,Clay,Rice,Vegetative,Urea,43
34.51,6.78,72,40,90,Loam,Radish,Germination,DAP,17
31.21,7.39,72,141,102,Sandy loam,Red onion,Vegetative,NPK 15-15-15,33
30.08,7.36,26,128,135,Loam,Rice,Germination,DAP,20
33.59,6.64,43,51,70,Clay,Radish,Flowering,NPK 15-15-15,33
34.17,7.39,67,42,67,Sandy loam,Red onion,Vegetative,NPK 15-15-15,27
24.84,6.85,135,108,142,Loam,Radish,Flowering,NPK 15-15-15,34
31.48,5.90,22,95,22,Sandy loam,Red onion,Germination,DAP,24
29.32,6.91,41,85,118,Loam,Beetroot,Vegetative,Urea,42
27.37,7.20,151,114,30,Sandy loam,Red onion,Vegetative,NPK 15-15-15,33
27.22,6.02,116,46,116,Loam,Radish,Germination,DAP,17
35.81,6.63,128,105,61,Clay,Beetroot,Vegetative,Urea,46
31.11,6.92,160,23,36,Clay,Beetroot,Flowering,NPK 15-15-15,52
29.43,6.04,115,47,122,Clay,Radish,Germination,DAP,16
25.60,6.04,50,146,159,Sandy loam,Rice,Vegetative,Urea,40
30.59,6.39,147,150,86,Loam,Rice,Flowering,Urea,20
29.54,5.91,48,23,52,Clay,Rice,Flowering,Urea,32
29.42,6.20,27,29,107,Clay,Red onion,Germination,DAP,18
33.36,6.92,121,54,151,Sandy loam,Red onion,Vegetative,NPK 15-15-15,33
29.21,6.72,105,41,85,Loam,Radish,Germination,DAP,15
30.78,5.91,24,102,102,Clay,Rice,Vegetative,Urea,42
35.09,7.26,62,156,72,Sandy loam,Rice,Flowering,Urea,34
30.42,6.80,77,144,85,Sandy loam,Red onion,Flowering,Urea,28
30.08,7.32,31,29,62,Sandy loam,Rice,Germination,NPK 15-15-15,22
29.39,6.05,125,54,70,Clay,Beetroot,Vegetative,Urea,51
29.80,5.87,95,80,32,Sandy loam,Rice,Flowering,Urea,23
32.89,6.49,113,101,39,Sandy loam,Red onion,Germination,DAP,17
35.25,6.12,135,87,159,Clay,Rice,Germination,DAP,23
28.94,6.66,139,72,76,Sandy loam,Beetroot,Germination,NPK 15-15-15,33
26.78,6.85,155,127,51,Sandy loam,Beetroot,Vegetative,NPK 15-15-15,54
25.14,6.13,74,100,21,Clay,Rice,Flowering,Urea,22
30.73,6.20,38,157,140,Clay,Red onion,Flowering,Urea,29
31.51,6.62,52,25,23,Loam,Red onion,Flowering,Urea,27
28.80,6.06,88,160,113,Loam,Red onion,Germination,DAP,15
33.70,6.03,116,73,100,Clay,Radish,Vegetative,Urea,21
34.68,6.27,153,92,52,Clay,Red onion,Germination,DAP,20
33.58,5.90,132,158,68,Loam,Radish,Germination,DAP,17
31.26,6.75,132,141,109,Clay,Rice,Germination,NPK 15-15-15,27
27.77,6.52,89,22,45,Sandy loam,Rice,Vegetative,Urea,40
34.73,6.54,71,105,79,Sandy loam,Red onion,Germination,DAP,18
35.60,6.99,131,39,53,Loam,Red onion,Vegetative,NPK 15-15-15,28
35.41,5.88,84,84,51,Sandy loam,Rice,Flowering,Urea,27
29.68,7.21,158,154,121,Clay,Rice,Vegetative,Urea,44
32.89,6.16,33,77,32,Clay,Radish,Germination,DAP,17
27.55,5.88,111,66,124,Sandy loam,Beetroot,Vegetative,Urea,48
29.13,6.59,80,131,41,Sandy loam,Beetroot,Flowering,NPK 15-15-15,41
31.13,6.22,99,106,90,Loam,Red onion,Germination,DAP,22
30.68,6.73,47,34,76,Clay,Rice,Flowering,Urea,22
33.57,7.06,34,86,56,Clay,Radish,Flowering,NPK 15-15-15,24
30.65,7.36,102,56,115,Sandy loam,Rice,Vegetative,Urea,36
33.08,6.64,20,29,82,Clay,Rice,Vegetative,Urea,42
26.28,6.26,51,58,33,Sandy loam,Rice,Germination,DAP,29
35.90,6.60,136,135,77,Sandy loam,Red onion,Germination,DAP,23
24.39,6.90,149,64,101,Loam,Red onion,Germination,DAP,22
28.24,5.99,83,46,33,Sandy loam,Radish,Germination,DAP,19
26.51,6.79,22,95,129,Loam,Red onion,Vegetative,NPK 15-15-15,25
24.86,6.86,71,90,59,Clay,Rice,Flowering,Urea,26
32.24,7.38,34,150,40,Sandy loam,Red onion,Germination,DAP,20
35.82,6.25,117,153,62,Sandy loam,Rice,Flowering,Urea,25
28.21,6.12,65,87,86,Sandy loam,Red onion,Vegetative,NPK 15-15-15,31
30.52,5.85,125,36,104,Sandy loam,Radish,Vegetative,Urea,24
32.98,6.51,36,158,50,Sandy loam,Beetroot,Germination,NPK 15-15-15,27
28.08,7.10,36,50,98,Clay,Rice,Flowering,Urea,28
27.54,6.66,81,79,79,Clay,Radish,Germination,DAP,18
30.74,5.90,24,108,30,Loam,Beetroot,Flowering,NPK 15-15-15,55
31.17,6.94,88,42,130,Clay,Radish,Vegetative,Urea,20
32.73,6.96,58,150,37,Loam,Radish,Flowering,NPK 15-15-15,20
28.14,5.97,149,103,127,Sandy loam,Rice,Flowering,Urea,27
26.52,5.82,36,107,30,Loam,Rice,Flowering,Urea,25
31.19,7.07,80,101,153,Clay,Red onion,Flowering,Urea,27
30.80,6.92,138,112,104,Loam,Red onion,Germination,DAP,22
31.89,6.97,70,46,68,Clay,Radish,Flowering,NPK 15-15-15,26
28.13,6.81,21,112,159,Clay,Radish,Vegetative,Urea,25
34.65,6.17,134,120,20,Clay,Radish,Vegetative,Urea,23
29.24,6.76,138,30,77,Clay,Beetroot,Flowering,NPK 15-15-15,43
32.64,6.89,152,48,31,Sandy loam,Beetroot,Vegetative,Urea,35
25.23,6.04,149,154,55,Sandy loam,Red onion,Flowering,Urea,29
35.77,6.36,93,54,65,Clay,Radish,Germination,DAP,15
32.61,6.93,136,80,145,Sandy loam,Radish,Vegetative,Urea,21
29.65,7.11,53,32,123,Clay,Beetroot,Vegetative,Urea,41
30.53,6.16,49,54,92,Loam,Rice,Flowering,Urea,28
